cam_angle,distance,true_theta,measured_dx,pred_dx,est_theta,theta_err
26.4,31.0,5.0,-10.4,-9.145,5.660,+0.660
26.4,31.0,10.0,-20.5,-18.899,10.800,+0.800
26.4,31.0,15.0,-30.0,-29.139,15.410,+0.410
26.4,31.0,20.0,-39.6,-39.727,19.940,-0.060
26.4,31.0,25.0,-49.1,-50.515,24.350,-0.650
26.4,31.0,30.0,-57.5,-61.347,28.220,-1.780
28.7,30.0,5.0,-10.2,-9.077,5.590,+0.590
28.7,30.0,10.0,-20.7,-18.842,10.920,+0.920
28.7,30.0,15.0,-30.9,-29.176,15.810,+0.810
28.7,30.0,20.0,-41.7,-39.943,20.800,+0.800
28.7,30.0,25.0,-50.1,-50.991,24.600,-0.400
28.7,30.0,30.0,-58.5,-62.160,28.360,-1.640
30.5,28.0,5.0,-11.1,-9.319,5.910,+0.910
30.5,28.0,10.0,-22.3,-19.433,11.360,+1.360
30.5,28.0,15.0,-33.0,-30.220,16.250,+1.250
30.5,28.0,20.0,-43.7,-41.538,20.930,+0.930
30.5,28.0,25.0,-53.8,-53.226,25.240,+0.240
30.5,28.0,30.0,-63.1,-65.113,29.160,-0.840
30.6,30.0,5.0,-9.9,-8.788,5.600,+0.600
30.6,30.0,10.0,-19.6,-18.304,10.660,+0.660
30.6,30.0,15.0,-29.3,-28.438,15.410,+0.410
30.6,30.0,20.0,-38.8,-39.057,19.880,-0.120
30.6,30.0,25.0,-47.5,-50.017,23.860,-1.140
30.6,30.0,30.0,-56.3,-61.159,27.820,-2.180
31.5,32.0,5.0,-9.8,-8.196,5.930,+0.930
31.5,32.0,10.0,-18.9,-17.080,10.980,+0.980
31.5,32.0,15.0,-27.9,-26.551,15.690,+0.690
31.5,32.0,25.0,-45.9,-46.765,24.580,-0.420
31.5,32.0,30.0,-54.4,-57.234,28.650,-1.350
32.2,30.0,10.0,-18.3,-17.829,10.240,+0.240
32.2,30.0,15.0,-29.0,-27.778,15.590,+0.590
32.2,30.0,20.0,-38.9,-38.257,20.300,+0.300
32.2,30.0,25.0,-48.5,-49.125,24.720,-0.280
32.2,30.0,30.0,-57.5,-60.226,28.780,-1.220
33.8,30.0,5.0,-10.7,-8.272,6.380,+1.380
33.8,30.0,10.0,-20.4,-17.334,11.610,+1.610
33.8,30.0,15.0,-30.5,-27.086,16.680,+1.680
33.8,30.0,20.0,-39.0,-37.411,20.750,+0.750
33.8,30.0,25.0,-48.4,-48.170,25.110,+0.110
33.8,30.0,30.0,-57.6,-59.214,29.270,-0.730
34.6,28.0,5.0,-10.8,-8.594,6.210,+1.210
34.6,28.0,10.0,-22.5,-18.064,12.210,+2.210
34.6,28.0,15.0,-33.0,-28.308,17.190,+2.190
34.6,28.0,20.0,-43.3,-39.202,21.820,+1.820
34.6,28.0,25.0,-53.7,-50.599,26.330,+1.330
34.6,28.0,30.0,-62.3,-62.336,29.980,-0.020
35.3,28.0,5.0,-10.7,-8.464,6.240,+1.240
35.3,28.0,10.0,-21.5,-17.817,11.860,+1.860
35.3,28.0,20.0,-39.1,-38.772,20.150,+0.150
35.3,28.0,25.0,-50.4,-50.108,25.130,+0.130
35.3,28.0,30.0,-59.6,-61.807,29.070,-0.930
36.5,28.0,5.0,-9.8,-8.239,5.890,+0.890
36.5,28.0,10.0,-18.7,-17.387,10.680,+0.680
36.5,28.0,15.0,-28.0,-27.351,15.310,+0.310
36.5,28.0,20.0,-37.3,-38.014,19.670,-0.330
36.5,28.0,30.0,-54.2,-60.866,27.150,-2.850
